cell_index,orginal_cell_index,cell_type,coordinates,neighbors,velocity,midpoint,area,oil_amount,scaled_normals
0,0,Sim_Line,"[(np.float64(-0.0), np.float64(-0.0)), (np.float64(0.01999999999996237), np.float64(0.0))]",,[-0.002 -0.01 ],"[np.float64(0.009999999999981185), np.float64(0.0)]",0.0,0.0,[]
1,1,Sim_Line,"[(np.float64(0.01999999999996237), np.float64(0.0)), (np.float64(0.03999999999992186), np.float64(0.0))]",,[-0.006 -0.03 ],"[np.float64(0.029999999999942115), np.float64(0.0)]",0.0,0.0,[]
2,2,Sim_Line,"[(np.float64(0.03999999999992186), np.float64(0.0)), (np.float64(0.05999999999987837), np.float64(0.0))]",,[-0.01 -0.05],"[np.float64(0.04999999999990012), np.float64(0.0)]",0.0,0.0,[]
3,3,Sim_Line,"[(np.float64(0.05999999999987837), np.float64(0.0)), (np.float64(0.07999999999984518), np.float64(0.0))]",,[-0.014 -0.07 ],"[np.float64(0.06999999999986178), np.float64(0.0)]",0.0,0.0,[]
4,4,Sim_Line,"[(np.float64(0.07999999999984518), np.float64(0.0)), (np.float64(0.09999999999981463), np.float64(0.0))]",,[-0.018 -0.09 ],"[np.float64(0.08999999999982991), np.float64(0.0)]",0.0,0.0,[]
5,5,Sim_Line,"[(np.float64(0.09999999999981463), np.float64(0.0)), (np.float64(0.1199999999997832), np.float64(0.0))]",,[-0.022 -0.11 ],"[np.float64(0.10999999999979891), np.float64(0.0)]",0.0,0.0,[]
6,6,Sim_Line,"[(np.float64(0.1199999999997832), np.float64(0.0)), (np.float64(0.1399999999997328), np.float64(0.0))]",,[-0.026 -0.13 ],"[np.float64(0.129999999999758), np.float64(0.0)]",0.0,0.0,[]
7,7,Sim_Line,"[(np.float64(0.1399999999997328), np.float64(0.0)), (np.float64(0.1599999999996745), np.float64(0.0))]",,[-0.03 -0.15],"[np.float64(0.14999999999970365), np.float64(0.0)]",0.0,0.0,[]
8,8,Sim_Line,"[(np.float64(0.1599999999996745), np.float64(0.0)), (np.float64(0.1799999999996162), np.float64(0.0))]",,[-0.034 -0.17 ],"[np.float64(0.16999999999964535), np.float64(0.0)]",0.0,0.0,[]
9,9,Sim_Line,"[(np.float64(0.1799999999996162), np.float64(0.0)), (np.float64(0.1999999999995579), np.float64(0.0))]",,[-0.038 -0.19 ],"[np.float64(0.18999999999958705), np.float64(0.0)]",0.0,0.0,[]
